j =  1/2+   -52.534
13.700       0.000001      -0.000004
13.800       0.000001      -0.000004
13.900       0.000001      -0.000004
14.000       0.000001      -0.000003
14.100       0.000001      -0.000003
14.200       0.000001      -0.000003
14.300       0.000001      -0.000003
14.400       0.000001      -0.000002
14.500       0.000001      -0.000002
14.600       0.000001      -0.000002
14.700       0.000000      -0.000002
14.800       0.000000      -0.000001
14.900       0.000000      -0.000001
15.000       0.000000      -0.000001
15.100       0.000000      -0.000001
15.200       0.000000      -0.000001
15.300       0.000000      -0.000001
15.400       0.000000      -0.000001
15.500       0.000000      -0.000000
15.600       0.000000      -0.000000
15.700       0.000000      -0.000000
15.800       0.000000      -0.000000
15.900       0.000000      -0.000000
16.000       0.000000      -0.000000
16.100       0.000000      -0.000000
16.200       0.000000      -0.000000
16.300       0.000000      -0.000000
16.400       0.000000      -0.000000
16.500       0.000000      -0.000000
16.600       0.000000      -0.000000
16.700       0.000000      -0.000000
16.800       0.000000      -0.000000
16.900       0.000000      -0.000000
17.000       0.000000      -0.000000
17.100       0.000000      -0.000000
17.200       0.000000      -0.000000
17.300       0.000000      -0.000000
17.400       0.000000      -0.000000
17.500       0.000000      -0.000000
17.600       0.000000      -0.000000
17.700       0.000000      -0.000000
17.800       0.000000      -0.000000
17.900       0.000000      -0.000000
18.000       0.000000      -0.000000

j =  1/2+   -24.303
 0.000       0.589092       0.000000
 0.100       0.587902       0.003924
 0.200       0.584342       0.007807
 0.300       0.578439       0.011606
 0.400       0.570240       0.015284
 0.500       0.559809       0.018807
 0.600       0.547227       0.022146
 0.700       0.532591       0.025275
