j = 1/2+    -53.5511
    11.900       0.000114      -0.000034
    12.000       0.000095      -0.000030
    12.100       0.000079      -0.000026
    12.200       0.000066      -0.000023
    12.300       0.000054      -0.000020
    12.400       0.000045      -0.000017
    12.500       0.000037      -0.000015
    12.600       0.000030      -0.000013
    12.700       0.000024      -0.000011
    12.800       0.000020      -0.000009
    12.900       0.000016      -0.000008
    13.000       0.000013      -0.000007
    13.100       0.000010      -0.000006
    13.200       0.000008      -0.000005
    13.300       0.000007      -0.000004
    13.400       0.000005      -0.000003
    13.500       0.000004      -0.000003
    13.600       0.000003      -0.000002
    13.700       0.000003      -0.000002
    13.800       0.000002      -0.000001
    13.900       0.000002      -0.000001
    14.000       0.000001      -0.000001
    14.100       0.000001      -0.000001
    14.200       0.000001      -0.000001
    14.300       0.000001      -0.000000
    14.400       0.000000      -0.000000
    14.500       0.000000      -0.000000
    14.600       0.000000      -0.000000
    14.700       0.000000      -0.000000
    14.800       0.000000      -0.000000
    14.900       0.000000      -0.000000
    15.000       0.000000      -0.000000
    15.100       0.000000      -0.000000
    15.200       0.000000      -0.000000
    15.300       0.000000      -0.000000
    15.400       0.000000      -0.000000
    15.500       0.000000      -0.000000
    15.600       0.000000      -0.000000
    15.700       0.000000      -0.000000
    15.800       0.000000      -0.000000
    15.900       0.000000      -0.000000
    16.000       0.000000      -0.000000
    16.100       0.000000      -0.000000
    16.200       0.000000      -0.000000
    16.300       0.000000      -0.000000
    16.400       0.000000      -0.000000
    16.500       0.000000      -0.000000
    16.600       0.000000      -0.000000
    16.700       0.000000      -0.000000
    16.800       0.000000      -0.000000
    16.900       0.000000      -0.000000
    17.000       0.000000      -0.000000
    17.100       0.000000      -0.000000
    17.200       0.000000      -0.000000
    17.300       0.000000      -0.000000
    17.400       0.000000      -0.000000
    17.500       0.000000      -0.000000
    17.600       0.000000      -0.000000
    17.700       0.000000      -0.000000
    17.800       0.000000      -0.000000
    17.900       0.000000      -0.000000
    18.000       0.000000      -0.000000
    18.100       0.000000      -0.000000
    18.200       0.000000      -0.000000
    18.300       0.000000      -0.000000
    18.400       0.000000      -0.000000
    18.500       0.000000      -0.000000
    18.600       0.000000      -0.000000
    18.700       0.000000      -0.000000
    18.800       0.000000      -0.000000
    18.900       0.000000      -0.000000
    19.000       0.000000      -0.000000
    19.100       0.000000      -0.000000
    19.200       0.000000      -0.000000
j = 1/2+     21.0004
     0.000       0.026894       0.010773
     0.100       0.026987       0.010781
     0.200       0.027249       0.010803
     0.300       0.027632       0.010826
     0.400       0.028058       0.010833
     0.500       0.028426       0.010799
     0.600       0.028624       0.010698
     0.700       0.028533       0.010503
     0.800       0.028040       0.010187
     0.900       0.027048       0.009726
     1.000       0.025485       0.009104
     1.100       0.023309       0.008311
     1.200       0.020517       0.007347
     1.300       0.017147       0.006221
     1.400       0.013276       0.004954
     1.500       0.009020       0.003575
     1.600       0.004530       0.002123
     1.700      -0.000023       0.000642
     1.800      -0.004446      -0.000816
     1.900      -0.008548      -0.002199
     2.000      -0.012139      -0.003456
     2.100      -0.015052      -0.004537
     2.200      -0.017146      -0.005399
     2.300      -0.018322      -0.006008
     2.400      -0.018521      -0.006339
     2.500      -0.017739      -0.006381
     2.600      -0.016018      -0.006134
     2.700      -0.013454      -0.005612
     2.800      -0.010186      -0.004841
     2.900      -0.006392      -0.003859
     3.000      -0.002279      -0.002712
     3.100       0.001930      -0.001457
     3.200       0.006004      -0.000152
     3.300       0.009720       0.001141
     3.400       0.012871       0.002362
     3.500       0.015285       0.003454
     3.600       0.016825       0.004367
     3.700       0.017403       0.005059
     3.800       0.016981       0.005501
     3.900       0.015575       0.005673
     4.000       0.013254       0.005569
     4.100       0.010136       0.005196
     4.200       0.006378       0.004572
     4.300       0.002177       0.003728
     4.400      -0.002250       0.002701
     4.500      -0.006672       0.001540
     4.600      -0.010855       0.000296
     4.700      -0.014576      -0.000975
     4.800      -0.017635      -0.002220
     4.900      -0.019859      -0.003384
     5.000      -0.021115      -0.004419
     5.100      -0.021316      -0.005282
     5.200      -0.020422      -0.005939
     5.300      -0.018442      -0.006362
     5.400      -0.015435      -0.006536
     5.500      -0.011506      -0.006456
     5.600      -0.006799      -0.006124
     5.700      -0.001494      -0.005554
     5.800       0.004206      -0.004768
     5.900       0.010077      -0.003794
     6.000       0.015892      -0.002667
     6.100       0.021422      -0.001426
     6.200       0.026450      -0.000112
     6.300       0.030778       0.001231
     6.400       0.034233       0.002564
     6.500       0.036674       0.003845
     6.600       0.037994       0.005038
     6.700       0.038125       0.006113
     6.800       0.037039       0.007042
     6.900       0.034746       0.007806
     7.000       0.031293       0.008389
     7.100       0.026759       0.008783
     7.200       0.021254       0.008986
     7.300       0.014912       0.009002
     7.400       0.007887       0.008840
     7.500       0.000344       0.008511
     7.600      -0.007543       0.008034
     7.700      -0.015598       0.007427
     7.800      -0.023651       0.006713
     7.900      -0.031538       0.005913
     8.000      -0.039108       0.005051
     8.100      -0.046227       0.004151
     8.200      -0.052779       0.003233
     8.300      -0.058668       0.002318
     8.400      -0.063820       0.001425
     8.500      -0.068181       0.000570
     8.600      -0.071721      -0.000233
     8.700      -0.074427      -0.000974
     8.800      -0.076306      -0.001644
     8.900      -0.077383      -0.002236
     9.000      -0.077695      -0.002748
     9.100      -0.077292      -0.003177
     9.200      -0.076236      -0.003525
     9.300      -0.074592      -0.003794
     9.400      -0.072434      -0.003988
     9.500      -0.069835      -0.004112
     9.600      -0.066873      -0.004171
     9.700      -0.063620      -0.004172
     9.800      -0.060148      -0.004123
     9.900      -0.056525      -0.004029
    10.000      -0.052814      -0.003899
    10.100      -0.049070      -0.003739
    10.200      -0.045345      -0.003556
    10.300      -0.041683      -0.003355
    10.400      -0.038120      -0.003143
    10.500      -0.034688      -0.002924
    10.600      -0.031412      -0.002702
    10.700      -0.028310      -0.002481
    10.800      -0.025395      -0.002265
    10.900      -0.022677      -0.002055
    11.000      -0.020160      -0.001855
    11.100      -0.017843      -0.001665
    11.200      -0.015724      -0.001487
    11.300      -0.013799      -0.001322
    11.400      -0.012058      -0.001169
    11.500      -0.010494      -0.001028
    11.600      -0.009096      -0.000901
    11.700      -0.007853      -0.000785
    11.800      -0.006753      -0.000682
    11.900      -0.005784      -0.000589
    12.000      -0.004936      -0.000507
    12.100      -0.004195      -0.000435
    12.200      -0.003553      -0.000371
    12.300      -0.002998      -0.000315
    12.400      -0.002520      -0.000267
    12.500      -0.002110      -0.000225
    12.600      -0.001761      -0.000189
    12.700      -0.001465      -0.000158
    12.800      -0.001214      -0.000132
    12.900      -0.001002      -0.000109
    13.000      -0.000825      -0.000091
    13.100      -0.000676      -0.000075
    13.200      -0.000553      -0.000061
    13.300      -0.000450      -0.000050
    13.400      -0.000365      -0.000041
    13.500      -0.000295      -0.000033
    13.600      -0.000238      -0.000027
    13.700      -0.000191      -0.000022
    13.800      -0.000153      -0.000017
    13.900      -0.000122      -0.000014
    14.000      -0.000097      -0.000011
    14.100      -0.000077      -0.000009
    14.200      -0.000061      -0.000007
    14.300      -0.000048      -0.000006
    14.400      -0.000038      -0.000004
    14.500      -0.000030      -0.000003
    14.600      -0.000023      -0.000003
